group	PeakID (cmd=annotatePeaks.pl Common_optimal.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Common	primary_peak_29157	chr7	141539612	141540318	+	656	NA	promoter-TSS (NM_026522)	promoter-TSS (NM_026522)	-108	NM_026522	68038	Mm.245355	NM_026522	ENSMUSG00000025512	Chid1	3110023E09Rik|AI841869	chitinase domain containing 1	protein-coding
Common	primary_peak_13232	chr17	10392409	10393020	+	655	NA	Intergenic	Intergenic	-63502	NR_077237	319750	Mm.383485	NR_077237	ENSMUSG00000089633	A230009B12Rik	-	RIKEN cDNA A230009B12 gene	ncRNA
Common	primary_peak_17936	chr2	91971873	91972637	+	655	NA	Intergenic	MER58B|DNA|hAT-Charlie	-8692	NM_138306	104418	Mm.314923	NM_138306	ENSMUSG00000040479	Dgkz	E130307B02Rik|F730209L11Rik|mDGK[z]	diacylglycerol kinase zeta	protein-coding
Common	primary_peak_22880	chr4	144892196	144893019	+	655	NA	promoter-TSS (NM_001172424)	promoter-TSS (NM_001172424)	-220	NM_001172424	20148	Mm.14063	NM_011303	ENSMUSG00000066026	Dhrs3	Rsdr1|retSDR1	dehydrogenase/reductase (SDR family) member 3	protein-coding
Common	primary_peak_579	chr1	66700635	66701269	+	655	NA	promoter-TSS (NM_025683)	promoter-TSS (NM_025683)	59	NM_025683	66646	Mm.240912	NM_025683	ENSMUSG00000026005	Rpe	2810429B02Rik|5730518J08Rik	ribulose-5-phosphate-3-epimerase	protein-coding
Common	primary_peak_3468	chr10	94147470	94148448	+	655	NA	promoter-TSS (NM_011629)	promoter-TSS (NM_011629)	28	NM_011629	22025	Mm.107483	NM_011629	ENSMUSG00000005897	Nr2c1	4831444H07Rik|80.3|Eenr|TR2|Tr2-11	nuclear receptor subfamily 2, group C, member 1	protein-coding
Common	primary_peak_11364	chr15	81802347	81803050	+	655	NA	promoter-TSS (NM_153484)	promoter-TSS (NM_153484)	25	NM_153484	21685	Mm.270278	NM_017376	ENSMUSG00000022389	Tef	2310028D20Rik	thyrotroph embryonic factor	protein-coding
Common	primary_peak_14957	chr18	35498508	35499133	+	654	NA	5' UTR (NM_030749, exon 1 of 10)	5' UTR (NM_030749, exon 1 of 10)	105	NM_030749	81500	Mm.291482	NM_030749	ENSMUSG00000024357	Sil1	1810057E01Rik|AI042831|wz	endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae)	protein-coding
Common	primary_peak_4201	chr11	17953298	17954097	+	654	NA	exon (NM_026576, exon 1 of 6)	exon (NM_026576, exon 1 of 6)	178	NM_026576	68145	Mm.178684	NM_026576	ENSMUSG00000016984	Etaa1	5730466H23Rik|AA672646	Ewing tumor-associated antigen 1	protein-coding
Common	primary_peak_9629	chr14	46821458	46822405	+	654	NA	intron (NM_022023, intron 1 of 6)	CpG	311	NM_022023	63985	Mm.87312	NM_022023	ENSMUSG00000062014	Gmfb	3110001H22Rik|3110001O16Rik|AI851627|C79176|D14Ertd630e	glia maturation factor, beta	protein-coding
Common	primary_peak_31991	chr9	78442583	78443422	+	654	NA	exon (NM_173386, exon 1 of 5)	exon (NM_173386, exon 1 of 5)	235	NR_125721	214763	Mm.101559	NM_173386	ENSMUSG00000032344	Cgas	E330016A19Rik|Mb21d1	cyclic GMP-AMP synthase	protein-coding
Common	primary_peak_12903	chr16	90042525	90043318	+	654	NA	Intergenic	Intergenic	-68222	NM_001145886	21844	Mm.310902	NM_009384	ENSMUSG00000002489	Tiam1	AI847750|D16Ium10|D16Ium10e	T cell lymphoma invasion and metastasis 1	protein-coding
Common	primary_peak_16285	chr19	37206907	37207902	+	654	NA	promoter-TSS (NM_027314)	promoter-TSS (NM_027314)	67	NM_001290828	208922	Mm.391176	NM_198300	ENSMUSG00000039652	Cpeb3	4831444O18Rik|CPE-BP3|mKIAA0940	cytoplasmic polyadenylation element binding protein 3	protein-coding
Common	primary_peak_14390	chr17	74489294	74490041	+	654	NA	5' UTR (NM_026417, exon 1 of 6)	5' UTR (NM_026417, exon 1 of 6)	174	NM_026417	67864	Mm.41891	NM_026417	ENSMUSG00000024072	Yipf4	2310034L04Rik	Yip1 domain family, member 4	protein-coding
Common	primary_peak_6346	chr11	119389866	119390695	+	654	NA	promoter-TSS (NR_035453)	promoter-TSS (NR_035453)	-192	NR_035453	100316690		NR_035453	ENSMUSG00000088015	Mir1932	mir-1932|mmu-mir-1932	microRNA 1932	ncRNA
Common	primary_peak_29880	chr8	70629584	70630515	+	654	NA	exon (NM_011819, exon 2 of 2)	exon (NM_011819, exon 2 of 2)	1586	NM_011819	23886	Mm.31325	NM_011819	ENSMUSG00000038508	Gdf15	MIC-1|NAG-1|SBF	growth differentiation factor 15	protein-coding
Common	primary_peak_13343	chr17	22225097	22226053	+	653	NA	promoter-TSS (NM_001205095)	promoter-TSS (NM_001205095)	39	NM_001205095	240038	Mm.227945	NM_001205095	ENSMUSG00000096433	Zfp994	EG240038|Gm4944	zinc finger protein 994	protein-coding
Common	primary_peak_29999	chr8	77610289	77611025	+	653	NA	promoter-TSS (NM_145599)	promoter-TSS (NM_145599)	-4	NM_145599	234463	Mm.273578	NM_145599	ENSMUSG00000031617	Tmem184c	8430433H16Rik|AI645453|AL033298|BC004056|Tmem34	transmembrane protein 184C	protein-coding
Common	primary_peak_26114	chr6	87502602	87503294	+	653	NA	intron (NM_001037727, intron 1 of 10)	intron (NM_001037727, intron 1 of 10)	-6621	NR_104483	232201	Mm.119564	NM_175476	ENSMUSG00000030047	Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
Common	primary_peak_6186	chr11	115513964	115514668	+	653	NA	promoter-TSS (NM_008258)	promoter-TSS (NM_008258)	54	NM_008258	15374	Mm.1775	NM_008258	ENSMUSG00000020737	Jpt1	Hn1	Jupiter microtubule associated homolog 1	protein-coding
Common	primary_peak_33236	chrX	151802909	151803992	+	653	NA	5' UTR (NM_021523, exon 1 of 83)	5' UTR (NM_021523, exon 1 of 83)	168	NM_021523	59026	Mm.27372	NM_021523	ENSMUSG00000025261	Huwe1	5430439H10Rik|AU041296|Arf-bp1|C430014N20Rik|C80292|Gm1718|Ib772|LASU1|Mule|Ureb1	HECT, UBA and WWE domain containing 1	protein-coding
Common	primary_peak_21783	chr4	89137016	89138053	+	653	NA	intron (NM_024433, intron 1 of 7)	CpG	164	NM_024433	66902	Mm.28500	NM_024433	ENSMUSG00000062937	Mtap	1300019I21Rik|MSAP	methylthioadenosine phosphorylase	protein-coding
Common	primary_peak_30594	chr8	112011164	112011919	+	652	NA	promoter-TSS (NM_001130868)	promoter-TSS (NM_001130868)	182	NM_020584	57321	Mm.213064	NM_020584	ENSMUSG00000033430	Terf2ip	Rap1	telomeric repeat binding factor 2, interacting protein	protein-coding
Common	primary_peak_8588	chr13	63278714	63279374	+	652	NA	intron (NR_110520, intron 2 of 5)	intron (NR_110520, intron 2 of 5)	18103	NR_045794	100504114	Mm.437070	NR_045794	ENSMUSG00000097242	Gm16907	-	predicted gene, 16907	ncRNA
Common	primary_peak_562	chr1	64616609	64617930	+	652	NA	promoter-TSS (NM_025964)	promoter-TSS (NM_025964)	-101	NM_025964	67099	Mm.46394	NM_025964	ENSMUSG00000025956	Mettl21a	2310038H17Rik|AI464204|Fam119a	methyltransferase like 21A	protein-coding
Common	primary_peak_23331	chr5	24842335	24843473	+	652	NA	promoter-TSS (NM_053075)	promoter-TSS (NM_053075)	-543	NM_053075	19744	Mm.319175	NM_053075	ENSMUSG00000028945	Rheb	Rheb1	Ras homolog enriched in brain	protein-coding
Common	primary_peak_28478	chr7	100120919	100121839	+	652	NA	exon (NM_133692, exon 1 of 12)	exon (NM_133692, exon 1 of 12)	121	NM_133692	67967	Mm.37562	NM_133692	ENSMUSG00000030726	Pold3	2410142G14Rik|C85233|P66|P68	polymerase (DNA-directed), delta 3, accessory subunit	protein-coding
Common	primary_peak_26763	chr6	127561138	127561894	+	652	NA	Intergenic	Intergenic	-16459	NM_001033464	381812	Mm.296093	NM_001033464	ENSMUSG00000061414	Cracr2a	Efcab4b|Gm1073|Gm462	calcium release activated channel regulator 2A	protein-coding
Common	primary_peak_6326	chr11	119040591	119041346	+	651	NA	promoter-TSS (NM_013926)	promoter-TSS (NM_013926)	-55	NM_013926	30951	Mm.99953	NM_013926	ENSMUSG00000025578	Cbx8	Pc3	chromobox 8	protein-coding
Common	primary_peak_15818	chr19	5660774	5661726	+	651	NA	intron (NM_001164568, intron 1 of 15)	intron (NM_001164568, intron 1 of 15)	2457	NM_001164481	20469	Mm.3072	NM_011379	ENSMUSG00000056917	Sipa1	Spa1	signal-induced proliferation associated gene 1	protein-coding
Common	primary_peak_17329	chr2	33755536	33756027	+	651	NA	intron (NM_175184, intron 7 of 9)	intron (NM_175184, intron 7 of 9)	-50035	NR_045729	320482	Mm.442057	NR_045729	ENSMUSG00000086484	Nron	A630071L07Rik|Gm24353	non-protein coding RNA, repressor of NFAT	ncRNA
Common	primary_peak_10227	chr14	79390185	79390952	+	651	NA	promoter-TSS (NM_025832)	promoter-TSS (NM_025832)	100	NM_025832	66897	Mm.24425	NM_025832	ENSMUSG00000022020	Naa16	1300019C06Rik|Narg1l	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	protein-coding
Common	primary_peak_3303	chr10	82127807	82128470	+	651	NA	intron (NM_001163064, intron 1 of 3)	CpG	125	NM_001163064	216177	Mm.482395	NM_001163064	ENSMUSG00000078435	AU041133	-	expressed sequence AU041133	protein-coding
Common	primary_peak_22720	chr4	138325583	138326469	+	651	NA	exon (NM_026880, exon 1 of 8)	exon (NM_026880, exon 1 of 8)	270	NM_026880	68943	Mm.18539	NM_026880	ENSMUSG00000028756	Pink1	1190006F07Rik|AU042772|AW557854|BRPK|mFLJ00387	PTEN induced putative kinase 1	protein-coding
Common	primary_peak_24285	chr5	113591780	113592242	+	651	NA	Intergenic	Intergenic	41591	NM_177292	320916	Mm.102783	NM_177292	ENSMUSG00000063430	Wscd2	4933413A10Rik|C530024P05Rik|Gm450	WSC domain containing 2	protein-coding
Common	primary_peak_11399	chr15	83349882	83350450	+	651	NA	promoter-TSS (NM_025445)	promoter-TSS (NM_025445)	81	NM_025445	66251	Mm.258910	NM_025445	ENSMUSG00000054277	Arfgap3	0610009H19Rik|1810004P07Rik|1810035F16Rik|9130416J18Rik|Arfgap1	ADP-ribosylation factor GTPase activating protein 3	protein-coding
Common	primary_peak_13274	chr17	14942819	14943363	+	651	NA	promoter-TSS (NM_026451)	promoter-TSS (NM_026451)	33	NM_175173	71682	Mm.122698	NM_175173	ENSMUSG00000046991	Wdr27	0610012K18Rik	WD repeat domain 27	protein-coding
Common	primary_peak_13274-2	chr17	14943364	14943656	+	651	NA	promoter-TSS (NM_175173)	promoter-TSS (NM_175173)	326	NM_026451	67912	Mm.390949	NM_026451	ENSMUSG00000050088	1600012H06Rik	-	RIKEN cDNA 1600012H06 gene	protein-coding
Common	primary_peak_21002	chr4	3574474	3575226	+	651	NA	promoter-TSS (NM_054089)	promoter-TSS (NM_054089)	-29	NM_054089	116940	Mm.171323	NM_054089	ENSMUSG00000028233	Tgs1	D4Ertd800e|Ncoa6ip|Pimt	trimethylguanosine synthase 1	protein-coding
Common	primary_peak_25083	chr5	145166850	145167353	+	651	NA	promoter-TSS (NM_133735)	promoter-TSS (NM_133735)	3	NM_133735	71799	Mm.277413	NM_133735	ENSMUSG00000029624	Ptcd1	1110069M14Rik	pentatricopeptide repeat domain 1	protein-coding
Common	primary_peak_20137	chr3	90265476	90266572	+	650	NA	promoter-TSS (NM_201407)	promoter-TSS (NM_201407)	-490	NM_201407	229541	Mm.30571	NM_201407	ENSMUSG00000042404	Dennd4b	-	DENN/MADD domain containing 4B	protein-coding
Common	primary_peak_18622	chr2	148731909	148732823	+	650	NA	promoter-TSS (NM_019632)	promoter-TSS (NM_019632)	54	NM_019632	17957	Mm.274308	NM_019632	ENSMUSG00000027438	Napb	Brp14|E161|I47|SNARE|b-SNAP	N-ethylmaleimide sensitive fusion protein attachment protein beta	protein-coding
Common	primary_peak_23684	chr5	64240956	64241629	+	650	NA	intron (NM_001289514, intron 1 of 18)	intron (NM_001289514, intron 1 of 18)	10935	NM_001289514	57915	Mm.286353	NM_019636	ENSMUSG00000029174	Tbc1d1	1110062G02Rik|AI385682|AW555803|Nob1|Nobq1|Tbc1|mKIAA1108	TBC1 domain family, member 1	protein-coding
Common	primary_peak_9807	chr14	55540086	55541118	+	650	NA	intron (NM_028994, intron 1 of 9)	intron (NM_028994, intron 1 of 9)	336	NM_028994	74551	Mm.29856	NM_028994	ENSMUSG00000040618	Pck2	1810010O14Rik|9130022B02Rik|PEPCK-M	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	protein-coding
Common	primary_peak_7155	chr12	81484705	81485274	+	650	NA	5' UTR (NM_025461, exon 1 of 4)	5' UTR (NM_025461, exon 1 of 4)	121	NM_025461	66272	Mm.439970	NM_025461	ENSMUSG00000091803	Cox16	1810020G14Rik|1810055I05Rik|BB388670	cytochrome c oxidase assembly protein 16	protein-coding
Common	primary_peak_2909	chr10	62601837	62602499	+	650	NA	exon (NM_019553, exon 1 of 15)	exon (NM_019553, exon 1 of 15)	130	NM_019553	56200	Mm.413275	NM_019553	ENSMUSG00000020075	Ddx21	AI255159|AL022742|D10Ertd645e|D10Wsu42e	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	protein-coding
Common	primary_peak_6313	chr11	118362965	118363587	+	650	NA	Intergenic	Intergenic	-7865	NM_011594	21858	Mm.206505	NM_011594	ENSMUSG00000017466	Timp2	D11Bwg1104e|Timp-2	tissue inhibitor of metalloproteinase 2	protein-coding
Common	primary_peak_19760	chr3	59120532	59120834	+	650	NA	intron (NM_001287119, intron 1 of 2)	MER20|DNA|hAT-Charlie	10079	NM_133200	140795	Mm.439021	NM_133200	ENSMUSG00000036381	P2ry14	A330108O13Rik|Gpr105|P2Y14	purinergic receptor P2Y, G-protein coupled, 14	protein-coding
Common	primary_peak_5840	chr11	101665363	101665971	+	650	NA	intron (NM_025404, intron 1 of 1)	CpG	126	NM_025404	80981	Mm.266840	NM_025404	ENSMUSG00000034936	Arl4d	1110036H21Rik|ARL6|AW456149|Arf4l|Arfl4|Arl5	ADP-ribosylation factor-like 4D	protein-coding
Common	primary_peak_16364	chr19	41847963	41848506	+	650	NA	promoter-TSS (NM_177603)	promoter-TSS (NM_177603)	-102	NM_177603	212398	Mm.222723	NM_177603	ENSMUSG00000047604	Frat2	-	frequently rearranged in advanced T cell lymphomas 2	protein-coding
Common	primary_peak_33	chr1	10037797	10038302	+	650	NA	promoter-TSS (NM_026493)	promoter-TSS (NM_026493)	110	NR_102282	26754	Mm.402384	NM_013715	ENSMUSG00000025917	Cops5	AI303502|CSN5|Jab1|Mov34|Sgn5	COP9 signalosome subunit 5	protein-coding
Common	primary_peak_16	chr1	7397370	7398518	+	650	NA	Intergenic	CpG	309024	NM_183028	319263	Mm.21539	NM_183028	ENSMUSG00000051285	Pcmtd1	8430411F12Rik|A030012M09Rik	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein-coding
Common	primary_peak_33143	chrX	109013349	109014053	+	650	NA	promoter-TSS (NM_016710)	promoter-TSS (NM_016710)	-321	NM_016710	50887	Mm.298443	NM_016710	ENSMUSG00000031245	Hmgn5	GARP45|NBP-45|Nsbp1	high-mobility group nucleosome binding domain 5	protein-coding
Common	primary_peak_13916	chr17	43016335	43017218	+	650	NA	5' UTR (NM_178589, exon 1 of 6)	5' UTR (NM_178589, exon 1 of 6)	221	NM_178589	94185	Mm.200792	NM_178589	ENSMUSG00000023915	Tnfrsf21	AA959878|DR6|R74815|TR7	tumor necrosis factor receptor superfamily, member 21	protein-coding
Common	primary_peak_13360	chr17	23673417	23674008	+	650	NA	promoter-TSS (NM_001008425)	promoter-TSS (NM_001008425)	58	NM_001008425	386612	Mm.328831	NM_001008425	ENSMUSG00000041319	Thoc6	F830014G06Rik|Wdr58	THO complex 6	protein-coding
Common	primary_peak_29426	chr8	22398041	22398854	+	649	NA	promoter-TSS (NR_045473)	promoter-TSS (NR_045473)	174	NM_181325	18408	Mm.200907	NM_181325	ENSMUSG00000031482	Slc25a15	D630044L02Rik|Ornt1	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15	protein-coding
Common	primary_peak_5152	chr11	75460497	75460768	+	649	NA	promoter-TSS (NR_030711)	promoter-TSS (NR_030711)	-907	NR_030711	100042498	Mm.482242	NR_030711	ENSMUSG00000085148	Mir22hg	2210403K04Rik|mir-22	Mir22 host gene (non-protein coding)	ncRNA
Common	primary_peak_23276	chr5	22549884	22550616	+	649	NA	promoter-TSS (NM_011959)	promoter-TSS (NM_011959)	81	NM_011959	26429	Mm.412217	NM_011959	ENSMUSG00000029012	Orc5	AL033327|MmORC5|Orc5l	origin recognition complex, subunit 5	protein-coding
Common	primary_peak_29499	chr8	25596915	25597705	+	649	NA	5' UTR (NM_173012, exon 1 of 11)	5' UTR (NM_173012, exon 1 of 11)	177	NM_173012	270035	Mm.268349	NM_173012	ENSMUSG00000037363	Letm2	6030453H13|D030041N04Rik	leucine zipper-EF-hand containing transmembrane protein 2	protein-coding
Common	primary_peak_21815	chr4	95557073	95557836	+	649	NA	promoter-TSS (NM_001113412)	promoter-TSS (NM_001113412)	-53	NM_001113412	75578	Mm.276098	NM_029347	ENSMUSG00000028573	Fggy	2310009E04Rik	FGGY carbohydrate kinase domain containing	protein-coding
Common	primary_peak_17674	chr2	71367452	71367973	+	649	NA	promoter-TSS (NM_172436)	promoter-TSS (NM_172436)	-158	NM_172436	78830	Mm.30928	NM_172436	ENSMUSG00000027010	Slc25a12	2610002D09Rik|AI839531|B230107K20Rik|BB129864	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	protein-coding
Common	primary_peak_8590	chr13	63430784	63432035	+	648	NA	intron (NM_001042673, intron 1 of 15)	(CCCCG)n|Simple_repeat|Simple_repeat	336	NM_001042673	14088	Mm.126106	NM_007985	ENSMUSG00000021461	Fancc	Facc	Fanconi anemia, complementation group C	protein-coding
Common	primary_peak_13492	chr17	26932885	26933471	+	648	NA	promoter-TSS (NM_009343)	promoter-TSS (NM_009343)	51	NM_009343	21652	Mm.258953	NM_009343	ENSMUSG00000024193	Phf1	AW557215|D17Ertd455e|Pcl1|Phf2|Tctex3	PHD finger protein 1	protein-coding
Common	primary_peak_13450	chr17	25874681	25875355	+	648	NA	promoter-TSS (NM_026686)	promoter-TSS (NM_026686)	-482	NM_026686	68347	Mm.35098	NM_026686	ENSMUSG00000025731	Mettl26	0610011F06Rik	methyltransferase like 26	protein-coding
Common	primary_peak_32607	chr9	122950321	122951350	+	648	NA	promoter-TSS (NM_010620)	promoter-TSS (NM_010620)	165	NM_025419	66202	Mm.268307	NM_025419	ENSMUSG00000032551	1110059G10Rik	-	RIKEN cDNA 1110059G10 gene	protein-coding
Common	primary_peak_26039	chr6	85137125	85138107	+	648	NA	exon (NM_011467, exon 1 of 3)	exon (NM_011467, exon 1 of 3)	148	NM_011467	20751	Mm.28393	NM_011467	ENSMUSG00000033735	Spr	AA409688|Gm10328	sepiapterin reductase	protein-coding
Common	primary_peak_31401	chr9	44567643	44568232	+	648	NA	Intergenic	Intergenic	-36955	NM_001110826	13209	Mm.267061	NM_007841	ENSMUSG00000032097	Ddx6	1110001P04Rik|C430015D01Rik|E230023J21Rik|HLR2|mRCK/P54|p54|rck	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	protein-coding
Common	primary_peak_32045	chr9	86592689	86593334	+	648	NA	intron (NM_001198933, intron 12 of 13)	B1F|SINE|Alu	20958	NM_001145968	69519	Mm.272517	NM_027100	ENSMUSG00000032417	Rwdd2a	1700030C20Rik|AI848608|Rwdd2	RWD domain containing 2A	protein-coding
Common	primary_peak_32479	chr9	116144987	116145799	+	648	NA	intron (NM_029575, intron 1 of 6)	intron (NM_029575, intron 1 of 6)	29970	NM_029575	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
Common	primary_peak_2924	chr10	63243582	63244563	+	647	NA	5' UTR (NM_030114, exon 1 of 26)	5' UTR (NM_030114, exon 1 of 26)	275	NM_030114	67345	Mm.234437	NM_026101	ENSMUSG00000020064	Herc4	1700056O17Rik|4921531D01Rik|9530080M15Rik|mKIAA1593	hect domain and RLD 4	protein-coding
Common	primary_peak_15937	chr19	8897892	8898452	+	647	NA	TTS (NM_176843)	TTS (NM_176843)	115	NM_001293621	14376	Mm.3196	NM_008060	ENSMUSG00000071650	Ganab	AU042638|G2an|GluII|mKIAA0088	alpha glucosidase 2 alpha neutral subunit	protein-coding
Common	primary_peak_32041	chr9	86464509	86465122	+	647	NA	exon (NM_027394, exon 1 of 10)	exon (NM_027394, exon 1 of 10)	101	NM_027394	70348	Mm.53469	NM_027394	ENSMUSG00000032415	Ube2cbp	2610018I03Rik|Ube3d	ubiquitin-conjugating enzyme E2C binding protein	protein-coding
Common	primary_peak_16654	chr19	59345178	59346335	+	647	NA	promoter-TSS (NM_001033222)	promoter-TSS (NM_001033222)	24	NM_001033222	107368	Mm.27250	NM_001033222	ENSMUSG00000074746	Pdzd8	A630041P07Rik|AV329468|AW228944|Pdzk8	PDZ domain containing 8	protein-coding
Common	primary_peak_14678	chr17	88509072	88509689	+	647	NA	Intergenic	Intergenic	-20744	NM_028658	73825	Mm.271817	NM_028658	ENSMUSG00000034709	Ppp1r21	1110018J12Rik|AI426045|AW550781|Ccdc128|Klraq1	protein phosphatase 1, regulatory subunit 21	protein-coding
Common	primary_peak_14182	chr17	56716867	56718072	+	647	NA	promoter-TSS (NM_027244)	promoter-TSS (NM_027244)	230	NM_001166474	106639	Mm.37290	NM_178926	ENSMUSG00000054723	Vmac	AI662250	vimentin-type intermediate filament associated coiled-coil protein	protein-coding
Common	primary_peak_8142	chr13	38036816	38037537	+	647	NA	promoter-TSS (NM_027724)	promoter-TSS (NM_027724)	187	NM_024242	71340	Mm.297130	NM_024242	ENSMUSG00000021428	Riok1	3110046C13Rik|5430416A05Rik|Ad034	RIO kinase 1	protein-coding
Common	primary_peak_7194	chr12	83596802	83597533	+	647	NA	promoter-TSS (NM_183154)	promoter-TSS (NM_183154)	-20	NM_183154	217695	Mm.59257	NM_183154	ENSMUSG00000042628	Zfyve1	DFCP1|G630053K23|TAFF1|ZNFN2A1|mKIAA1589	zinc finger, FYVE domain containing 1	protein-coding
Common	primary_peak_10555	chr15	9070804	9071735	+	647	NA	promoter-TSS (NM_001286255)	promoter-TSS (NM_001286255)	9	NM_001085410	68646	Mm.244226	NM_001040395	ENSMUSG00000022253	Nadk2	MNADK|Nadkd1	NAD kinase 2, mitochondrial	protein-coding
Common	primary_peak_32924	chrX	56597293	56598348	+	647	NA	promoter-TSS (NM_146234)	promoter-TSS (NM_146234)	99	NM_146234	236792	Mm.291824	NM_146234	ENSMUSG00000061273	Mmgt1	9630048L06Rik|BC032271|Emc5|Mir5116|Tmem32|mir-5116	membrane magnesium transporter 1	protein-coding
Common	primary_peak_19073	chr2	167631799	167632379	+	647	NA	promoter-TSS (NM_023230)	promoter-TSS (NM_023230)	-84	NM_023230	66589	Mm.278783	NM_023230	ENSMUSG00000078923	Ube2v1	0610011J09Rik|AI256840|CROC-1|CROC1|D7Bwg1382e|UEV-1	ubiquitin-conjugating enzyme E2 variant 1	protein-coding
Common	primary_peak_19699	chr3	53463174	53464011	+	646	NA	promoter-TSS (NM_173382)	promoter-TSS (NM_173382)	-225	NM_173382	212127	Mm.491292	NM_173382	ENSMUSG00000049504	Proser1	2810046L04Rik|9330161F11	proline and serine rich 1	protein-coding
Common	primary_peak_20859	chr3	142764915	142765720	+	646	NA	promoter-TSS (NM_145546)	promoter-TSS (NM_145546)	70	NM_145546	229906	Mm.271756	NM_145546	ENSMUSG00000028271	Gtf2b	-	general transcription factor IIB	protein-coding
Common	primary_peak_28729	chr7	118115736	118116579	+	646	NA	promoter-TSS (NM_170669)	promoter-TSS (NM_170669)	-10	NM_170669	267019	Mm.288212	NM_170669	ENSMUSG00000008683	Rps15a	A630031B11Rik	ribosomal protein S15A	protein-coding
Common	primary_peak_16602	chr19	55315894	55316745	+	646	NA	promoter-TSS (NM_001033573)	promoter-TSS (NM_001033573)	262	NM_016862	53611	Mm.258637	NM_016862	ENSMUSG00000024983	Vti1a	1110014F16Rik|1110018K19Rik|4921537J05Rik|MVti1|MVti1a|Vti1|Vti1-rp2	vesicle transport through interaction with t-SNAREs 1A	protein-coding
Common	primary_peak_14000	chr17	46645570	46646273	+	646	NA	promoter-TSS (NM_025302)	promoter-TSS (NM_025302)	-327	NM_025302	27398	Mm.391007	NM_025302	ENSMUSG00000002767	Mrpl2	CGI-22|L2mt|MRP-L14|MRP-L2|Rpml14	mitochondrial ribosomal protein L2	protein-coding
Common	primary_peak_6213	chr11	116167859	116168391	+	646	NA	promoter-TSS (NM_172571)	promoter-TSS (NM_172571)	53	NM_172571	217335	Mm.35241	NM_172571	ENSMUSG00000020776	Fbf1	1110033G01Rik|5930413D20|mKIAA1863	Fas (TNFRSF6) binding factor 1	protein-coding
Common	primary_peak_2222	chr10	7792505	7793028	+	646	NA	promoter-TSS (NM_026141)	promoter-TSS (NM_026141)	-128	NM_026141	67418	Mm.38927	NM_026141	ENSMUSG00000015757	Ppil4	3732410E19Rik|3830425H19Rik|AI788954|AW146233|PPIase	peptidylprolyl isomerase (cyclophilin)-like 4	protein-coding
Common	primary_peak_20294	chr3	97609797	97610367	+	646	NA	exon (NM_026539, exon 1 of 23)	exon (NM_026539, exon 1 of 23)	108	NM_026539	68058	Mm.31761	NM_026539	ENSMUSG00000028089	Chd1l	4432404A22Rik|Alc1|Snf2p	chromodomain helicase DNA binding protein 1-like	protein-coding
Common	primary_peak_22589	chr4	134496593	134497222	+	646	NA	promoter-TSS (NM_001285849)	promoter-TSS (NM_001285849)	-134	NM_001285849	71904	Mm.142343	NM_027995	ENSMUSG00000037348	Paqr7	2310021M12Rik|AV001994|BB007237|Mpra|PGLP|mPR	progestin and adipoQ receptor family member VII	protein-coding
Common	primary_peak_3099-2	chr10	77551377	77551594	+	646	NA	intron (NM_008404, intron 8 of 15)	intron (NM_008404, intron 8 of 15)	21137	NM_008404	16414	Mm.1137	NM_008404	ENSMUSG00000000290	Itgb2	2E6|AI528527|Cd18|LAD|LCAMB|Lfa1|MF17	integrin beta 2	protein-coding
Common	primary_peak_22589-2	chr4	134497223	134497472	+	646	NA	intron (NM_001285849, intron 1 of 2)	intron (NM_001285849, intron 1 of 2)	306	NM_001285849	71904	Mm.142343	NM_027995	ENSMUSG00000037348	Paqr7	2310021M12Rik|AV001994|BB007237|Mpra|PGLP|mPR	progestin and adipoQ receptor family member VII	protein-coding
Common	primary_peak_2222-2	chr10	7793029	7793411	+	646	NA	intron (NM_026141, intron 1 of 12)	intron (NM_026141, intron 1 of 12)	326	NM_026141	67418	Mm.38927	NM_026141	ENSMUSG00000015757	Ppil4	3732410E19Rik|3830425H19Rik|AI788954|AW146233|PPIase	peptidylprolyl isomerase (cyclophilin)-like 4	protein-coding
Common	primary_peak_3099	chr10	77550867	77551376	+	646	NA	intron (NM_008404, intron 8 of 15)	intron (NM_008404, intron 8 of 15)	20773	NM_008404	16414	Mm.1137	NM_008404	ENSMUSG00000000290	Itgb2	2E6|AI528527|Cd18|LAD|LCAMB|Lfa1|MF17	integrin beta 2	protein-coding
